,,종목코드,종목명,현재가,전일대비기호,전일대비,등락률,이전거래량,현재거래량,급증량,급증률,종목분류,매도잔량,매수잔량,체결강도,횟수,거래량,전일비,거래회전율,거래금액,거래량(장중),전일비(장중),거래회전율(장중),거래금액(장중),거래량(장후),전일비(장후),거래회전율(장후),거래금액(장후),거래량(장전),전일비(장전),거래회전율(장전),거래금액(장전),기준가,기준대비,급등률,예상체결가,예상체결량,매도호가,매수호가,현재순위,전일순위,전일거래량,거래대금
거래량 급증 종목,140,415760,SOL 차이나육성산업액티브(합성),+7515,2,+155,+2.11,8077,18130,+10053,+124.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,141,530124,삼성 레버리지 일본니케이225선물 ETN(H),-19215,5,-55,-0.29,7,10003,+9996,+142800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,142,306520,HANARO 200선물인버스,+10720,2,+105,+0.99,57,10035,+9978,+17505.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,143,474660,신한제12호스팩,-2080,5,-10,-0.48,1576,11480,+9904,+628.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,144,489570,HANARO 25-12 은행채(AA+이상)액티브,+10045,2,+5,+0.05,440,10030,+9590,+2179.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,145,530113,삼성 레버리지 S&P500 선물 ETN,-37000,5,-300,-0.80,686,10009,+9323,+1359.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,146,430220,신영스팩8호,+2110,2,+15,+0.72,1552,10729,+9177,+591.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,147,238670,PLUS 스마트베타Quality채권혼합,+10905,2,+60,+0.55,23,9197,+9174,+39886.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,148,122690,서진오토모티브,+1990,2,+11,+0.56,12294,21060,+8766,+71.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,149,433970,KODEX TDF2030액티브,+12825,2,+40,+0.31,24944,33629,+8685,+34.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,150,083470,이엠앤아이,+1217,2,+3,+0.25,12732,21400,+8668,+68.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,151,510027,대신 인버스 2X 코스닥 150 선물 ETN,-7460,5,-45,-0.60,15019,23671,+8652,+57.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,152,275980,TIGER 글로벌4차산업혁신기술(합성 H),-17105,5,-80,-0.47,11203,19772,+8569,+76.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,153,33626K,두산퓨얼셀1우,+5170,2,+250,+5.08,17278,25532,+8254,+47.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,154,389260,대명에너지,+10580,2,+10,+0.09,14653,22532,+7879,+53.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,155,393210,토마토시스템,+5380,2,+90,+1.70,131209,139011,+7802,+5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,156,33626L,두산퓨얼셀2우B,+8220,2,+170,+2.11,2509,10151,+7642,+304.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,157,391600,ACE 미국친환경그린테마INDXX,+9260,2,+45,+0.49,936,8574,+7638,+816.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,158,005250,녹십자홀딩스,+15220,2,+540,+3.68,35726,43200,+7474,+20.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,159,069660,KOSEF 200,-33275,5,-35,-0.11,39245,46473,+7228,+18.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,160,495550,SOL 코리아밸류업TR,+9465,2,+15,+0.16,136878,144085,+7207,+5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,161,276990,KODEX 글로벌로봇(합성),-18510,5,-175,-0.94,4405,11497,+7092,+161.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,162,096760,JW홀딩스,+2960,2,+15,+0.51,12109,19101,+6992,+57.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,163,469160,ACE 일본반도체,-10710,5,-20,-0.19,247,7107,+6860,+2777.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,164,002920,유성기업,+1918,2,+8,+0.42,14189,21011,+6822,+48.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,165,500007,신한 인버스 은 선물 ETN(H),+3685,2,+115,+3.22,1566,7622,+6056,+386.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,166,017250,인터엠,-1012,5,-6,-0.59,7456,13350,+5894,+79.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,167,500040,신한 레버리지 구리 선물 ETN,-19065,5,-145,-0.75,164,6006,+5842,+3562.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,168,054220,비츠로시스,+454,2,+2,+0.44,43869,49574,+5705,+13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,169,417840,저스템,+6150,2,+160,+2.67,40597,46191,+5594,+13.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,170,610008,메리츠 레버리지 국채30년 ETN,+7055,2,+110,+1.58,285,5409,+5124,+1797.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,171,468370,KODEX iShares미국인플레이션국채액티브,-10845,5,-10,-0.09,5810,10752,+4942,+85.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,172,570097,한투 S&P 엔달러 선물 ETN(H),+8770,2,+60,+0.69,196,5094,+4898,+2498.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,173,154040,다산솔루에타,-1133,5,-9,-0.79,16501,21366,+4865,+29.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,174,122260,KOSEF 통안채1년,+106005,2,+40,+0.04,339,5000,+4661,+1374.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,175,476260,HANARO 반도체핵심공정주도주,+5415,2,+5,+0.09,1090,5624,+4534,+415.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,176,530061,삼성 레버리지 은 선물 ETN(H),-15900,5,-975,-5.78,2329,6816,+4487,+192.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,177,461260,ACE 25-06 회사채(AA-이상)액티브,+10705,2,+5,+0.05,4380,8833,+4453,+101.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,178,064520,테크엘,-1815,5,-45,-2.42,10181,14607,+4426,+43.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,179,495040,PLUS 코리아밸류업,+9485,2,+50,+0.53,83245,87565,+4320,+5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,180,476000,UNICORN 포스트IPO액티브,+6135,2,+70,+1.15,819,5034,+4215,+514.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,181,001560,제일연마,+8790,2,+90,+1.03,1121,5300,+4179,+372.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,182,580046,KB 블룸버그 인버스2X 천연가스선물 ETN(H),+69130,2,+5870,+9.28,4412,8371,+3959,+89.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,183,276970,KODEX 미국S&P500배당귀족커버드콜(합성 H),+8920,2,+25,+0.28,5278,8919,+3641,+68.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,184,215000,골프존,+72100,2,+2100,+3.00,19975,23546,+3571,+17.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,185,530056,삼성 인버스 2X 금 선물 ETN(H),+5240,2,+65,+1.26,1609,5127,+3518,+218.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,186,017650,대림제지,6840,3,0,0.00,1719,5216,+3497,+203.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,187,179530,애드바이오텍,+2785,2,+35,+1.27,10490,13886,+3396,+32.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,188,288620,에스퓨얼셀,+9240,2,+210,+2.33,8487,11754,+3267,+38.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,189,035760,CJ ENM,+65900,2,+2500,+3.94,91967,94960,+2993,+3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,190,042420,네오위즈홀딩스,+19330,2,+830,+4.49,5259,8131,+2872,+54.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,191,473440,ACE 11월만기자동연장회사채AA-이상액티브,10425,3,0,0.00,2764,5622,+2858,+103.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,192,094840,슈프리마에이치큐,-5610,5,-50,-0.88,7175,9952,+2777,+38.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,193,610038,메리츠 레버리지 미국채30년 ETN(H),+5290,2,+55,+1.05,15281,17916,+2635,+17.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,194,444490,WON 미국S&P500,-15740,5,-70,-0.44,8277,10885,+2608,+31.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,195,061040,알에프텍,+3325,2,+70,+2.15,30936,33498,+2562,+8.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,196,360150,KODEX 코스닥150롱코스피200숏선물,+9400,2,+35,+0.37,3145,5429,+2284,+72.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,197,474930,신한제13호스팩,-2100,5,-15,-0.71,4418,6693,+2275,+51.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,198,263810,상신전자,+2930,2,+45,+1.56,33816,36066,+2250,+6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,199,279530,KODEX 고배당,+10570,2,+35,+0.33,21629,23595,+1966,+9.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,0,489730,디비금융제13호스팩,+3370,2,+1370,+68.50,,63006336,,,25,10817,47674,80.47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,1,376930,노을,+3080,1,+710,+29.96,,7216742,,,25,0,1354903,106.65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,2,450520,인스웨이브시스템즈,+4210,1,+970,+29.94,,6932398,,,28,0,132789,73.17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,3,043590,웰킵스하이텍,+785,2,+169,+27.44,,3646653,,,25,24627,16799,99.85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,4,389650,넥스트바이오메디컬,+45450,2,+8250,+22.18,,932626,,,28,16568,14447,127.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,5,038680,에스넷,+4725,2,+810,+20.69,,5127908,,,28,72315,16861,110.19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,6,282720,금양그린파워,+10420,2,+1740,+20.05,,2220074,,,28,2669,5190,92.40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,7,047560,이스트소프트,+25050,2,+3850,+18.16,,6028102,,,28,59005,34699,112.97,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,8,239340,이스트에이드,+2430,2,+365,+17.68,,9346904,,,0,32301,59779,91.37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,9,002870,신풍,+1302,2,+174,+15.43,,2936000,,,25,8645,11393,85.55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,10,068760,셀트리온제약,+60600,2,+7600,+14.34,,737448,,,27,17684,5301,120.07,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,11,208370,셀바스헬스케어,+5490,2,+675,+14.02,,7926721,,,27,88935,32214,101.09,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,12,010130,고려아연,+1160000,2,+141000,+13.84,,35554,,,25,464,255,95.87,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,13,465480,인스피언,+9090,2,+980,+12.08,,1451629,,,28,6831,6824,108.26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,14,357880,비트나인,+3515,2,+360,+11.41,,20972138,,,25,25024,64007,99.25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,15,063080,컴투스홀딩스,+35400,2,+3600,+11.32,,1028836,,,0,10379,2874,90.83,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,16,052600,한네트,+4845,2,+485,+11.12,,6696453,,,28,9905,46636,66.56,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,17,002140,고려산업,+3110,2,+300,+10.68,,9786318,,,28,30565,83702,87.02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,18,065650,하이퍼코퍼레이션,+1323,2,+117,+9.70,,1308842,,,25,28094,32402,160.59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,19,476080,M83,+16780,2,+1460,+9.53,,3632974,,,27,4262,19744,112.53,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,20,610054,메리츠 블룸버그 -2X 천연가스 선물 ETN(H),+69550,2,+6015,+9.47,,1869,,,25,153,3037,7.48,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,21,234920,자이글,+5800,2,+500,+9.43,,886790,,,25,29423,7705,86.89,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,22,570084,한투 블룸버그 인버스 2X 천연가스선물 ETN,+67600,2,+5775,+9.34,,8992,,,25,24351,35545,45.13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,23,580046,KB 블룸버그 인버스2X 천연가스선물 ETN(H),+69130,2,+5870,+9.28,,8371,,,25,5143,5024,44.89,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,24,304840,피플바이오,+3995,2,+335,+9.15,,788795,,,25,10966,13391,97.96,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,25,053030,바이넥스,+18190,2,+1520,+9.12,,1178397,,,28,20431,6118,157.29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,26,300080,플리토,+20050,2,+1660,+9.03,,355356,,,25,2909,2521,106.68,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,27,510029,대신 S&P 인버스 2X 천연가스 선물 ETN,+67245,2,+5565,+9.02,,679,,,25,5160,748,30.12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,28,530102,삼성 인버스 2X 천연가스 선물 ETN C,+72760,2,+5945,+8.90,,104446,,,25,856,1069,110.48,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,29,014990,인디에프,+1028,2,+82,+8.67,,26688534,,,25,31960,98844,93.77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,30,203650,드림시큐리티,+3455,2,+275,+8.65,,3600843,,,28,38061,62960,101.21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,31,464500,아이언디바이스,+4005,2,+315,+8.54,,1279946,,,28,3676,12742,93.34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,32,260930,씨티케이,+5990,2,+450,+8.12,,166259,,,28,13960,10771,392.72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,33,308430,셀비온,+11840,2,+870,+7.93,,733382,,,28,2730,6085,100.04,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,34,700020,하나 블룸버그 -2X 천연가스 선물 ETN(H),+69390,2,+5060,+7.87,,688,,,25,2130,438,5.36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,35,009420,한올바이오파마,+37850,2,+2700,+7.68,,730491,,,27,42571,30212,150.95,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,36,103840,우양,+3380,2,+240,+7.64,,1816775,,,0,5939,24827,59.59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,37,082270,젬백스,+17400,2,+1220,+7.54,,257611,,,25,15638,557,143.94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,38,060260,뉴보텍,+1093,2,+75,+7.37,,507281,,,25,558,2490,135.72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,39,336260,두산퓨얼셀,+18200,2,+1210,+7.12,,596356,,,27,8950,6889,125.01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,40,150900,파수,+5140,2,+340,+7.08,,336503,,,28,6444,5057,112.09,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,41,139670,키네마스터,+2800,2,+185,+7.07,,307196,,,25,1820,5682,82.94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,42,520077,미래에셋 -1.5X 천연가스 선물 ETN,+29055,2,+1915,+7.06,,4925,,,25,150124,8537,23.53,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,43,220100,퓨쳐켐,+16820,2,+1100,+7.00,,938370,,,0,2502,3537,103.86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,44,237690,에스티팜,+89000,2,+5800,+6.97,,141846,,,27,6580,4730,226.72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,45,351870,차이커뮤니케이션,+13660,2,+890,+6.97,,4001534,,,0,1546,11262,84.04,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,46,221800,유투바이오,+2920,2,+190,+6.96,,692801,,,0,1751,10112,73.79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,47,099750,이지케어텍,+18220,2,+1180,+6.92,,36725,,,0,1000,427,286.66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,48,087010,펩트론,+85200,2,+5500,+6.90,,898546,,,25,11425,10314,168.41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,49,358570,지아이이노베이션,+11740,2,+740,+6.73,,410116,,,25,3371,5494,150.78,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,50,473980,노머스,+17280,2,+1090,+6.73,,230447,,,0,2212,1011,139.94,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,51,232830,시큐센,+2010,2,+122,+6.46,,315129,,,25,3582,10432,92.78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,52,460470,아이빔테크놀로지,+4330,2,+260,+6.39,,144125,,,28,1654,6771,216.46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,53,500030,신한 인버스 2X 은 선물 ETN(H),+953,2,+57,+6.36,,56735,,,25,286689,163019,8.89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,54,042500,링네트,+4540,2,+270,+6.32,,232462,,,27,6769,3099,83.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,55,226330,신테카바이오,+6940,2,+410,+6.28,,179793,,,25,14653,7029,91.91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,56,461030,아이엠비디엑스,+12450,2,+730,+6.23,,110549,,,28,2564,2903,96.16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,57,580027,KB 인버스 2X 은 선물 ETN(H),+8600,2,+495,+6.11,,2940,,,25,25852,22193,500.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,58,530062,삼성 인버스 2X 은 선물 ETN(H),+653,2,+37,+6.01,,359126,,,25,1380896,1178130,500.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,59,456070,이엔셀,+15290,2,+860,+5.96,,335412,,,28,5380,7488,127.60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,60,000880,한화,+29500,2,+1650,+5.92,,158145,,,27,25645,6143,322.13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,61,610017,메리츠 인버스 2X 은 선물 ETN(H),+8605,2,+480,+5.91,,1149,,,25,100033,19798,31.92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,62,219550,디와이디,+523,2,+29,+5.87,,2846410,,,15,174127,37337,137.65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,63,363260,모비데이즈,+1884,2,+104,+5.84,,983376,,,28,5308,5636,106.82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,64,394800,쓰리빌리언,+6170,2,+340,+5.83,,23790982,,,0,61071,187204,93.68,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,65,036580,팜스코,+2480,2,+135,+5.76,,195643,,,25,25297,13096,68.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,66,187420,제노포커스,+4080,2,+220,+5.70,,157377,,,25,7539,6804,160.91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,67,084650,랩지노믹스,+2785,2,+150,+5.69,,2088163,,,27,107528,97999,133.30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,68,291810,핀텔,+1969,2,+106,+5.69,,336442,,,25,1182,5865,90.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,69,073240,금호타이어,+4835,2,+255,+5.57,,624981,,,27,54814,16844,205.90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,70,570062,한투 인버스 2X 은 선물 ETN,+10330,2,+520,+5.30,,4985,,,25,104077,34428,411.81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,71,466410,사이냅소프트,+18320,2,+920,+5.29,,437894,,,0,2334,229,110.38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,72,006040,동원산업,+37050,2,+1850,+5.26,,42608,,,27,3177,743,320.64,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,73,203690,아크솔루션스,+4890,2,+240,+5.16,,28893,,,25,3690,2497,108.41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,74,33626K,두산퓨얼셀1우,+5170,2,+250,+5.08,,25532,,,0,1356,520,83.01,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,75,222980,한국맥널티,+3845,2,+185,+5.05,,144535,,,0,5793,5274,78.15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,76,610044,메리츠 인버스 천연가스 선물 ETN(H),+29840,2,+1435,+5.05,,15,,,25,30854,6180,133.33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,77,510019,대신 인버스 천연가스 선물 ETN(H),+9600,2,+460,+5.03,,9298,,,25,112636,6943,38.68,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,78,45014K,코오롱모빌리티그룹우,+3255,2,+155,+5.00,,884,,,12,231,130,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,79,361670,삼영에스앤씨,+5260,2,+250,+4.99,,7182,,,25,1647,452,209.30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,80,510043,대신 인버스 천연가스 선물 ETN(H) B,+9470,2,+450,+4.99,,190,,,25,100000,752,0.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,81,205470,휴마시스,+1947,2,+91,+4.90,,13946490,,,25,21241,82420,95.28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,82,141080,리가켐바이오,+100800,2,+4700,+4.89,,453982,,,25,18415,2513,150.14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,83,206640,바디텍메드,+17040,2,+780,+4.80,,166626,,,27,955,2608,231.30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,84,530119,삼성 레버리지 항셍테크 ETN(H) B,+27035,2,+1235,+4.79,,13854,,,25,98100,19997,99.51,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,85,247540,에코프로비엠,+141500,2,+6300,+4.66,,453007,,,27,9673,1843,121.50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,86,211050,인카금융서비스,+6560,2,+290,+4.63,,225487,,,27,5380,15809,197.16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,87,289010,아이스크림에듀,+2625,2,+115,+4.58,,21567,,,0,6251,1826,121.27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,88,394280,오픈엣지테크놀로지,+11420,2,+500,+4.58,,381952,,,25,1398,5279,73.23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
전일 대비 등락률 상위 종목,89,520053,미래에셋 인버스 천연가스 선물 ETN(H),+29605,2,+1295,+4.57,,1269,,,25,180050,178923,8.55,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
