,,종목코드,종목명,현재가,전일대비기호,전일대비,등락률,이전거래량,현재거래량,급증량,급증률,종목분류,매도잔량,매수잔량,체결강도,횟수,거래량,전일비,거래회전율,거래금액,거래량(장중),전일비(장중),거래회전율(장중),거래금액(장중),거래량(장후),전일비(장후),거래회전율(장후),거래금액(장후),거래량(장전),전일비(장전),거래회전율(장전),거래금액(장전),기준가,기준대비,급등률,예상체결가,예상체결량,매도호가,매수호가,현재순위,전일순위,전일거래량,거래대금
거래량 급증 종목,34,389650,넥스트바이오메디컬,+45500,2,+8300,+22.31,356265,932305,+576040,+161.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,35,495850,KODEX 코리아밸류업,-9455,5,-5,-0.05,1021966,1588911,+566945,+55.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,36,053030,바이넥스,+18180,2,+1510,+9.06,648761,1178226,+529465,+81.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,37,218150,미래생명자원,+4225,2,+80,+1.93,299816,706478,+406662,+135.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,38,060260,뉴보텍,+1093,2,+75,+7.37,123593,507281,+383688,+310.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,39,308430,셀비온,+11840,2,+870,+7.93,355903,733382,+377479,+106.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,40,001340,백광산업,+8430,2,+200,+2.43,223180,579944,+356764,+159.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,41,046970,우리로,+1275,2,+2,+0.16,349570,700328,+350758,+100.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,42,039020,이건홀딩스,+3710,2,+65,+1.78,81555,420324,+338769,+415.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,43,530062,삼성 인버스 2X 은 선물 ETN(H),+653,2,+37,+6.01,44128,359126,+314998,+713.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,44,291810,핀텔,+1969,2,+106,+5.69,24099,336442,+312343,+1296.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,45,009420,한올바이오파마,+37850,2,+2700,+7.68,438954,730488,+291534,+66.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,46,139670,키네마스터,+2800,2,+185,+7.07,21094,307196,+286102,+1356.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,47,232830,시큐센,+2010,2,+122,+6.46,31015,315129,+284114,+916.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,48,336260,두산퓨얼셀,+18200,2,+1210,+7.12,327465,596356,+268891,+82.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,49,019570,플루토스,-311,5,-9,-2.81,186313,424737,+238424,+127.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,50,394280,오픈엣지테크놀로지,+11420,2,+500,+4.58,166293,381952,+215659,+129.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,51,087010,펩트론,+85200,2,+5500,+6.90,689968,898546,+208578,+30.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,52,013720,CBI,-866,5,-49,-5.36,127063,305977,+178914,+140.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,53,040910,아이씨디,+5000,2,+145,+2.99,24053,195849,+171796,+714.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,54,009780,엠에스씨,-5790,5,-40,-0.69,282571,447623,+165052,+58.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,55,105760,포스뱅크,+6610,2,+170,+2.64,30583,189763,+159180,+520.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,56,042500,링네트,+4540,2,+270,+6.32,80789,232462,+151673,+187.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,57,041960,코미팜,+4070,2,+95,+2.39,105511,252502,+146991,+139.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,58,489870,히어로즈 25-09 회사채(AA-이상)액티브,+50325,2,+20,+0.04,7,141628,+141621,+2023157.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,59,261260,KODEX 미국달러선물인버스2X,+5675,2,+35,+0.62,243406,380700,+137294,+56.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,60,003310,대주산업,+1382,2,+11,+0.80,69157,202313,+133156,+192.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,61,418620,이에이트,+9940,2,+30,+0.30,168441,301458,+133017,+78.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,62,075970,동국알앤에스,+2660,2,+65,+2.50,194086,326510,+132424,+68.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,63,222980,한국맥널티,+3845,2,+185,+5.05,22093,144535,+122442,+554.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,64,363260,모비데이즈,+1883,2,+103,+5.79,861742,983375,+121633,+14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,65,211050,인카금융서비스,+6560,2,+290,+4.63,106339,225487,+119148,+112.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,66,068270,셀트리온,+185700,2,+7900,+4.44,372429,479696,+107267,+28.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거래량 급증 종목,67,418170,하나금융22호스팩,-1696,5,-89,-4.99,18877,118835,+99958,+529.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
